"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","3.500","3.350","3.500","3.340","83.71M","4.79%"
"12/28/2023","3.340","3.310","3.350","3.290","5.30M","1.21%"
"12/27/2023","3.300","3.300","3.330","3.300","3.71M","0.00%"
"12/26/2023","3.300","3.210","3.300","3.210","2.07M","2.48%"
"12/25/2023","3.220","3.230","3.260","3.200","5.31M","0.62%"
"12/22/2023","3.200","3.240","3.250","3.200","3.69M","-0.93%"
"12/21/2023","3.230","3.220","3.230","3.200","1.52M","-0.62%"
"12/20/2023","3.250","3.210","3.250","3.190","1.34M","1.88%"
"12/19/2023","3.190","3.210","3.230","3.190","1.74M","-0.93%"
"12/18/2023","3.220","3.200","3.240","3.200","1.53M","-0.31%"
"12/15/2023","3.230","3.200","3.230","3.180","2.41M","0.94%"
"12/14/2023","3.200","3.200","3.210","3.180","874.11K","0.63%"
"12/13/2023","3.180","3.240","3.260","3.180","1.88M","-1.55%"
"12/12/2023","3.230","3.150","3.240","3.140","1.07M","1.57%"
"12/11/2023","3.180","3.110","3.200","3.100","1.81M","0.95%"
"12/08/2023","3.150","3.160","3.180","3.140","1.22M","-0.63%"
"12/07/2023","3.170","3.170","3.170","3.140","1.41M","0.00%"
"12/06/2023","3.170","3.160","3.170","3.140","1.13M","-0.31%"
"12/05/2023","3.180","3.160","3.190","3.130","1.15M","0.32%"
"12/01/2023","3.170","3.240","3.240","3.120","1.81M","-2.46%"
"11/30/2023","3.250","3.250","3.250","3.230","1.73M","0.00%"
"11/29/2023","3.250","3.250","3.250","3.210","1.72M","-0.31%"
"11/28/2023","3.260","3.230","3.260","3.210","1.87M","0.93%"
"11/27/2023","3.230","3.260","3.260","3.220","2.50M","-0.62%"
"11/24/2023","3.250","3.260","3.270","3.240","803.79K","-0.31%"
"11/23/2023","3.260","3.280","3.280","3.230","1.99M","-0.31%"
"11/22/2023","3.270","3.240","3.340","3.200","3.26M","0.93%"
"11/21/2023","3.240","3.230","3.250","3.230","456.27K","0.00%"
"11/20/2023","3.240","3.260","3.270","3.220","731.76K","0.00%"
"11/17/2023","3.240","3.250","3.270","3.230","839.50K","0.31%"
"11/16/2023","3.230","3.280","3.310","3.220","1.05M","-1.22%"
"11/15/2023","3.270","3.240","3.280","3.220","985.44K","1.55%"
"11/14/2023","3.220","3.260","3.260","3.190","1.77M","-0.92%"
"11/13/2023","3.250","3.240","3.300","3.220","1.18M","-0.31%"
"11/10/2023","3.260","3.190","3.310","3.170","4.86M","2.84%"
"11/09/2023","3.170","3.130","3.180","3.120","1.15M","1.60%"
"11/08/2023","3.120","3.160","3.180","3.120","898.40K","-1.27%"
"11/07/2023","3.160","3.160","3.170","3.150","1.22M","-0.32%"
"11/06/2023","3.170","3.230","3.230","3.150","3.17M","-0.63%"
"11/03/2023","3.190","3.190","3.250","3.180","1.77M","0.63%"
"11/02/2023","3.170","3.100","3.180","3.100","4.09M","3.59%"
"11/01/2023","3.060","3.030","3.070","3.030","1.73M","1.32%"
